623529开头的银行卡是中国银联支付标记借记卡 623529开头的银行卡号数字长度为19位 如：623529xxxxxxxxxxxxx
622391开头的银行卡是潍坊银行借记卡 622391开头的银行卡号数字长度为16位 如：622391xxxxxxxxxx
940072开头的银行卡是潍坊银行借记卡 940072开头的银行卡号数字长度为16位 如：940072xxxxxxxxxx
622359开头的银行卡是临沂商业银行借记卡 622359开头的银行卡号数字长度为19位 如：622359xxxxxxxxxxxxx
940066开头的银行卡是临沂商业银行借记卡 940066开头的银行卡号数字长度为19位 如：940066xxxxxxxxxxxxx
622857开头的银行卡是日照市商业银行借记卡 622857开头的银行卡号数字长度为19位 如：622857xxxxxxxxxxxxx
940065开头的银行卡是日照市商业银行借记卡 940065开头的银行卡号数字长度为19位 如：940065xxxxxxxxxxxxx
621062开头的银行卡是花旗银行(中国)有限公司借记卡 621062开头的银行卡号数字长度为16位 如：621062xxxxxxxxxx
621063开头的银行卡是花旗银行(中国)有限公司借记卡 621063开头的银行卡号数字长度为16位 如：621063xxxxxxxxxx
625076开头的银行卡是花旗中国贷记卡 625076开头的银行卡号数字长度为16位 如：625076xxxxxxxxxx
625077开头的银行卡是花旗中国贷记卡 625077开头的银行卡号数字长度为16位 如：625077xxxxxxxxxx
625074开头的银行卡是花旗中国贷记卡 625074开头的银行卡号数字长度为16位 如：625074xxxxxxxxxx
625075开头的银行卡是花旗中国贷记卡 625075开头的银行卡号数字长度为16位 如：625075xxxxxxxxxx
622933开头的银行卡是东亚银行中国有限公司借记卡 622933开头的银行卡号数字长度为19位 如：622933xxxxxxxxxxxxx
622938开头的银行卡是东亚银行中国有限公司借记卡 622938开头的银行卡号数字长度为19位 如：622938xxxxxxxxxxxxx
623031开头的银行卡是东亚银行中国有限公司借记卡 623031开头的银行卡号数字长度为19位 如：623031xxxxxxxxxxxxx
622946开头的银行卡是汇丰银(中国)有限公司借记卡 622946开头的银行卡号数字长度为16位 如：622946xxxxxxxxxx
622942开头的银行卡是渣打银行中国有限公司借记卡 622942开头的银行卡号数字长度为16位 如：622942xxxxxxxxxx
622994开头的银行卡是渣打银行中国有限公司借记卡 622994开头的银行卡号数字长度为16位 如：622994xxxxxxxxxx
622583开头的银行卡是渣打银行(中国)贷记卡 622583开头的银行卡号数字长度为16位 如：622583xxxxxxxxxx
622584开头的银行卡是渣打银行(中国)贷记卡 622584开头的银行卡号数字长度为16位 如：622584xxxxxxxxxx
621016开头的银行卡是星展银行借记卡 621016开头的银行卡号数字长度为19位 如：621016xxxxxxxxxxxxx
621015开头的银行卡是星展银行借记卡 621015开头的银行卡号数字长度为19位 如：621015xxxxxxxxxxxxx
623187开头的银行卡是星展银行借记卡 623187开头的银行卡号数字长度为19位 如：623187xxxxxxxxxxxxx
622950开头的银行卡是恒生银行借记卡 622950开头的银行卡号数字长度为16位 如：622950xxxxxxxxxx
622951开头的银行卡是恒生银行借记卡 622951开头的银行卡号数字长度为16位 如：622951xxxxxxxxxx
621060开头的银行卡是友利银行(中国)有限公司借记卡 621060开头的银行卡号数字长度为19位 如：621060xxxxxxxxxxxxx
623551开头的银行卡是友利银行(中国)有限公司借记卡 623551开头的银行卡号数字长度为19位 如：623551xxxxxxxxxxxxx
621072开头的银行卡是新韩银行借记卡 621072开头的银行卡号数字长度为19位 如：621072XXXXXXXXXXXXX
623630开头的银行卡是新韩银行借记卡 623630开头的银行卡号数字长度为19位 如：623630xxxxxxxxxxxxx
621201开头的银行卡是韩亚银行（中国）借记卡 621201开头的银行卡号数字长度为16位 如：621201xxxxxxxxxx
623513开头的银行卡是韩亚银行（中国）借记卡 623513开头的银行卡号数字长度为16位 如：623513xxxxxxxxxx
621077开头的银行卡是华侨银行（中国）借记卡 621077开头的银行卡号数字长度为16位 如：621077xxxxxxxxxx
621298开头的银行卡是永亨银行（中国）有限公司借记卡 621298开头的银行卡号数字长度为18位 如：621298xxxxxxxxxxxx
621213开头的银行卡是南洋商业银行（中国）借记卡 621213开头的银行卡号数字长度为19位 如：621213xxxxxxxxxxxxx
621289开头的银行卡是南洋商业银行（中国）借记卡 621289开头的银行卡号数字长度为19位 如：621289xxxxxxxxxxxxx
621290开头的银行卡是南洋商业银行（中国）借记卡 621290开头的银行卡号数字长度为19位 如：621290xxxxxxxxxxxxx
621291开头的银行卡是南洋商业银行（中国）借记卡 621291开头的银行卡号数字长度为19位 如：621291xxxxxxxxxxxxx
621292开头的银行卡是南洋商业银行（中国）借记卡 621292开头的银行卡号数字长度为19位 如：621292xxxxxxxxxxxxx
623555开头的银行卡是南洋商业银行（中国）借记卡 623555开头的银行卡号数字长度为19位 如：623555xxxxxxxxxxxxx
621328开头的银行卡是大华银行（中国）借记卡 621328开头的银行卡号数字长度为19位 如：621328xxxxxxxxxxxxx
623176开头的银行卡是大华银行（中国）借记卡 623176开头的银行卡号数字长度为19位 如：623176xxxxxxxxxxxxx
621277开头的银行卡是大新银行（中国）借记卡 621277开头的银行卡号数字长度为16位 如：621277xxxxxxxxxx
621651开头的银行卡是企业银行（中国）借记卡 621651开头的银行卡号数字长度为19位 如：621651xxxxxxxxxxxxx
62326516开头的银行卡是企业银行（中国）借记卡 62326516开头的银行卡号数字长度为19位 如：62326516xxxxxxxxxxx
623163开头的银行卡是华商银行借记卡 623163开头的银行卡号数字长度为19位 如：623163xxxxxxxxxxxxx
623526开头的银行卡是中德住房储蓄银行借记卡 623526开头的银行卡号数字长度为19位 如：623526xxxxxxxxxxxxx
623565开头的银行卡是富邦华一银行借记卡 623565开头的银行卡号数字长度为19位 如：623565xxxxxxxxxxxxx
623633开头的银行卡是深圳前海微众银行借记卡 623633开头的银行卡号数字长度为19位 如：623633xxxxxxxxxxxxx
623616开头的银行卡是天津金城银行借记卡 623616开头的银行卡号数字长度为18位 如：623616xxxxxxxxxxxx
623622开头的银行卡是上海华瑞银行股份有限公司借记卡 623622开头的银行卡号数字长度为19位 如：623622xxxxxxxxxxxxx
623632开头的银行卡是温州民商借记卡 623632开头的银行卡号数字长度为19位 如：623632xxxxxxxxxxxxx
622393开头的银行卡是厦门银行股份有限公司借记卡 622393开头的银行卡号数字长度为16位 如：622393xxxxxxxxxx
6886592开头的银行卡是厦门银行股份有限公司借记卡 6886592开头的银行卡号数字长度为18位 如：6886592xxxxxxxxxxx
940023开头的银行卡是厦门银行股份有限公司借记卡 940023开头的银行卡号数字长度为16位 如：940023xxxxxxxxxx
623019开头的银行卡是厦门银行股份有限公司借记卡 623019开头的银行卡号数字长度为19位 如：623019xxxxxxxxxxxxx
621600开头的银行卡是厦门银行股份有限公司借记卡 621600开头的银行卡号数字长度为19位 如：621600xxxxxxxxxxxxx
623533开头的银行卡是烟台市商业银行借记卡 623533开头的银行卡号数字长度为19位 如：623533xxxxxxxxxxxxx
622388开头的银行卡是福建海峡银行股份有限公司借记卡 622388开头的银行卡号数字长度为16位 如：622388xxxxxxxxxx
621267开头的银行卡是福建海峡银行股份有限公司借记卡 621267开头的银行卡号数字长度为18位 如：621267xxxxxxxxxxxx
620043开头的银行卡是福建海峡银行股份有限公司预付费卡 620043开头的银行卡号数字长度为18位 如：620043xxxxxxxxxxxx
623063开头的银行卡是福建海峡银行股份有限公司借记卡 623063开头的银行卡号数字长度为18位 如：623063xxxxxxxxxxxx
621664开头的银行卡是福建海峡银行股份有限公司借记卡 621664开头的银行卡号数字长度为18位 如：621664xxxxxxxxxxxx
628360开头的银行卡是福建海峡银行贷记卡 628360开头的银行卡号数字长度为16位 如：628360xxxxxxxxxx
622695开头的银行卡是福建海峡银行贷记卡 622695开头的银行卡号数字长度为16位 如：622695xxxxxxxxxx
622865开头的银行卡是吉林银行借记卡 622865开头的银行卡号数字长度为19位 如：622865xxxxxxxxxxxxx
940012开头的银行卡是吉林银行借记卡 940012开头的银行卡号数字长度为16位 如：940012xxxxxxxxxx
622178开头的银行卡是吉林银行贷记卡 622178开头的银行卡号数字长度为16位 如：622178xxxxxxxxxx
622179开头的银行卡是吉林银行贷记卡 622179开头的银行卡号数字长度为16位 如：622179xxxxxxxxxx
628358开头的银行卡是吉林银行贷记卡 628358开头的银行卡号数字长度为16位 如：628358xxxxxxxxxx
623131开头的银行卡是吉林银行借记卡 623131开头的银行卡号数字长度为19位 如：623131xxxxxxxxxxxxx
622394开头的银行卡是镇江市商业银行借记卡 622394开头的银行卡号数字长度为16位 如：622394xxxxxxxxxx
940025开头的银行卡是镇江市商业银行借记卡 940025开头的银行卡号数字长度为16位 如：940025xxxxxxxxxx
621279开头的银行卡是宁波银行借记卡 621279开头的银行卡号数字长度为16位 如：621279xxxxxxxxxx
622281开头的银行卡是宁波银行借记卡 622281开头的银行卡号数字长度为16位 如：622281xxxxxxxxxx
622316开头的银行卡是宁波银行借记卡 622316开头的银行卡号数字长度为16位 如：622316xxxxxxxxxx
940022开头的银行卡是宁波银行借记卡 940022开头的银行卡号数字长度为16位 如：940022xxxxxxxxxx
621418开头的银行卡是宁波银行借记卡 621418开头的银行卡号数字长度为19位 如：621418xxxxxxxxxxxxx
620533开头的银行卡是宁波银行预付费卡 620533开头的银行卡号数字长度为19位 如：620533xxxxxxxxxxxxx
623252开头的银行卡是宁波银行借记卡 623252开头的银行卡号数字长度为19位 如：623252xxxxxxxxxxxxx
512431开头的银行卡是宁波银行贷记卡 512431开头的银行卡号数字长度为16位 如：512431xxxxxxxxxx
520194开头的银行卡是宁波银行贷记卡 520194开头的银行卡号数字长度为16位 如：520194xxxxxxxxxx
622338开头的银行卡是焦作中旅银行借记卡 622338开头的银行卡号数字长度为19位 如：622338xxxxxxxxxxxxx
940032开头的银行卡是焦作中旅银行借记卡 940032开头的银行卡号数字长度为16位 如：940032xxxxxxxxxx
623205开头的银行卡是焦作中旅银行借记卡 623205开头的银行卡号数字长度为19位 如：623205xxxxxxxxxxxxx
623511开头的银行卡是焦作中旅银行借记卡 623511开头的银行卡号数字长度为19位 如：623511xxxxxxxxxxxxx
621977开头的银行卡是温州银行借记卡 621977开头的银行卡号数字长度为16位 如：621977xxxxxxxxxx
623112开头的银行卡是温州银行借记卡 623112开头的银行卡号数字长度为19位 如：623112xxxxxxxxxxxxx
623578开头的银行卡是温州银行借记卡 623578开头的银行卡号数字长度为19位 如：623578xxxxxxxxxxxxx
603445开头的银行卡是广州银行股份有限公司借记卡 603445开头的银行卡号数字长度为19位 如：603445xxxxxxxxxxxxx
622467开头的银行卡是广州银行股份有限公司借记卡 622467开头的银行卡号数字长度为19位 如：622467xxxxxxxxxxxxx
940016开头的银行卡是广州银行股份有限公司借记卡 940016开头的银行卡号数字长度为19位 如：940016xxxxxxxxxxxxx
621463开头的银行卡是广州银行股份有限公司借记卡 621463开头的银行卡号数字长度为19位 如：621463xxxxxxxxxxxxx
990027开头的银行卡是汉口银行借记卡 990027开头的银行卡号数字长度为18位 如：990027xxxxxxxxxxxx
622325开头的银行卡是汉口银行借记卡 622325开头的银行卡号数字长度为16位 如：622325xxxxxxxxxx
623029开头的银行卡是汉口银行借记卡 623029开头的银行卡号数字长度为16位 如：623029xxxxxxxxxx
623105开头的银行卡是汉口银行借记卡 623105开头的银行卡号数字长度为16位 如：623105xxxxxxxxxx
62326510开头的银行卡是汉口银行借记卡 62326510开头的银行卡号数字长度为16位 如：62326510xxxxxxxx
622475开头的银行卡是龙江银行股份有限公司借记卡 622475开头的银行卡号数字长度为16位 如：622475xxxxxxxxxx
621244开头的银行卡是盛京银行借记卡 621244开头的银行卡号数字长度为16位 如：621244xxxxxxxxxx
623081开头的银行卡是盛京银行借记卡 623081开头的银行卡号数字长度为16位 如：623081xxxxxxxxxx
623108开头的银行卡是盛京银行借记卡 623108开头的银行卡号数字长度为16位 如：623108xxxxxxxxxx
566666开头的银行卡是盛京银行借记卡 566666开头的银行卡号数字长度为18位 如：566666xxxxxxxxxxxx
622455开头的银行卡是盛京银行借记卡 622455开头的银行卡号数字长度为19位 如：622455xxxxxxxxxxxxx
940039开头的银行卡是盛京银行借记卡 940039开头的银行卡号数字长度为19位 如：940039xxxxxxxxxxxxx
622955开头的银行卡是盛京银行借记卡 622955开头的银行卡号数字长度为16位 如：622955xxxxxxxxxx
622466开头的银行卡是盛京银行贷记卡 622466开头的银行卡号数字长度为16位 如：622466xxxxxxxxxx
628285开头的银行卡是盛京银行贷记卡 628285开头的银行卡号数字长度为16位 如：628285xxxxxxxxxx
940041开头的银行卡是洛阳银行借记卡 940041开头的银行卡号数字长度为17位 如：940041xxxxxxxxxxx
622420开头的银行卡是洛阳银行借记卡 622420开头的银行卡号数字长度为17位 如：622420xxxxxxxxxxx
623118开头的银行卡是洛阳银行借记卡 623118开头的银行卡号数字长度为19位 如：623118xxxxxxxxxxxxx
622399开头的银行卡是辽阳银行股份有限公司借记卡 622399开头的银行卡号数字长度为17位 如：622399xxxxxxxxxxx
940043开头的银行卡是辽阳银行股份有限公司借记卡 940043开头的银行卡号数字长度为17位 如：940043xxxxxxxxxxx
628309开头的银行卡是辽阳银行股份有限公司贷记卡 628309开头的银行卡号数字长度为16位 如：628309xxxxxxxxxx
623151开头的银行卡是辽阳银行股份有限公司借记卡 623151开头的银行卡号数字长度为19位 如：623151xxxxxxxxxxxxx
603506开头的银行卡是苏州市商业银行借记卡 603506开头的银行卡号数字长度为19位 如：603506xxxxxxxxxxxxx
622498开头的银行卡是河北银行股份有限公司借记卡 622498开头的银行卡号数字长度为19位 如：622498xxxxxxxxxxxxx
622499开头的银行卡是河北银行股份有限公司借记卡 622499开头的银行卡号数字长度为19位 如：622499xxxxxxxxxxxxx
940046开头的银行卡是河北银行股份有限公司借记卡 940046开头的银行卡号数字长度为19位 如：940046xxxxxxxxxxxxx
623000开头的银行卡是河北银行股份有限公司借记卡 623000开头的银行卡号数字长度为19位 如：623000xxxxxxxxxxxxx
623582开头的银行卡是河北银行借记卡 623582开头的银行卡号数字长度为19位 如：623582xxxxxxxxxxxxx
622878开头的银行卡是杭州商业银行借记卡 622878开头的银行卡号数字长度为18位 如：622878xxxxxxxxxxxx
623061开头的银行卡是杭州商业银行借记卡 623061开头的银行卡号数字长度为18位 如：623061xxxxxxxxxxxx
623209开头的银行卡是杭州商业银行借记卡 623209开头的银行卡号数字长度为18位 如：623209xxxxxxxxxxxx
62326513开头的银行卡是杭州商业银行借记卡 62326513开头的银行卡号数字长度为18位 如：62326513xxxxxxxxxx
62326527开头的银行卡是杭州商业银行借记卡 62326527开头的银行卡号数字长度为19位 如：62326527xxxxxxxxxxx
628242开头的银行卡是南京银行贷记卡 628242开头的银行卡号数字长度为16位 如：628242xxxxxxxxxx
622595开头的银行卡是南京银行贷记卡 622595开头的银行卡号数字长度为16位 如：622595xxxxxxxxxx
622303开头的银行卡是南京银行贷记卡 622303开头的银行卡号数字长度为16位 如：622303xxxxxxxxxx
622305开头的银行卡是南京银行借记卡 622305开头的银行卡号数字长度为16位 如：622305xxxxxxxxxx
621259开头的银行卡是南京银行借记卡 621259开头的银行卡号数字长度为16位 如：621259xxxxxxxxxx
622596开头的银行卡是南京银行贷记卡 622596开头的银行卡号数字长度为16位 如：622596xxxxxxxxxx
622333开头的银行卡是东莞市商业银行借记卡 622333开头的银行卡号数字长度为16位 如：622333xxxxxxxxxx
940050开头的银行卡是东莞市商业银行借记卡 940050开头的银行卡号数字长度为16位 如：940050xxxxxxxxxx
621439开头的银行卡是东莞市商业银行借记卡 621439开头的银行卡号数字长度为19位 如：621439xxxxxxxxxxxxx
623010开头的银行卡是东莞市商业银行借记卡 623010开头的银行卡号数字长度为19位 如：623010xxxxxxxxxxxxx
940051开头的银行卡是金华银行股份有限公司借记卡 940051开头的银行卡号数字长度为16位 如：940051xxxxxxxxxx
628204开头的银行卡是金华银行股份有限公司贷记卡 628204开头的银行卡号数字长度为16位 如：628204xxxxxxxxxx
622449开头的银行卡是金华银行股份有限公司借记卡 622449开头的银行卡号数字长度为16位 如：622449xxxxxxxxxx
623067开头的银行卡是金华银行股份有限公司借记卡 623067开头的银行卡号数字长度为16位 如：623067xxxxxxxxxx
622450开头的银行卡是金华银行股份有限公司贷记卡 622450开头的银行卡号数字长度为16位 如：622450xxxxxxxxxx
621751开头的银行卡是乌鲁木齐市商业银行借记卡 621751开头的银行卡号数字长度为19位 如：621751xxxxxxxxxxxxx
628278开头的银行卡是乌鲁木齐市商业银行贷记卡 628278开头的银行卡号数字长度为16位 如：628278xxxxxxxxxx
625502开头的银行卡是乌鲁木齐市商业银行贷记卡 625502开头的银行卡号数字长度为16位 如：625502xxxxxxxxxx
625503开头的银行卡是乌鲁木齐市商业银行准贷记卡 625503开头的银行卡号数字长度为16位 如：625503xxxxxxxxxx
625135开头的银行卡是乌鲁木齐市商业银行准贷记卡 625135开头的银行卡号数字长度为16位 如：625135xxxxxxxxxx
622476开头的银行卡是乌鲁木齐市商业银行贷记卡 622476开头的银行卡号数字长度为16位 如：622476xxxxxxxxxx
625155开头的银行卡是乌鲁木齐市商业银行贷记卡 625155开头的银行卡号数字长度为16位 如：625155xxxxxxxxxx
621754开头的银行卡是乌鲁木齐市商业银行借记卡 621754开头的银行卡号数字长度为19位 如：621754xxxxxxxxxxxxx
622143开头的银行卡是乌鲁木齐市商业银行借记卡 622143开头的银行卡号数字长度为19位 如：622143xxxxxxxxxxxxx
940001开头的银行卡是乌鲁木齐市商业银行借记卡 940001开头的银行卡号数字长度为19位 如：940001xxxxxxxxxxxxx
622486开头的银行卡是绍兴银行股份有限公司借记卡 622486开头的银行卡号数字长度为16位 如：622486xxxxxxxxxx
603602开头的银行卡是绍兴银行股份有限公司借记卡 603602开头的银行卡号数字长度为18位 如：603602xxxxxxxxxxxx
623026开头的银行卡是绍兴银行借记卡 623026开头的银行卡号数字长度为16位 如：623026xxxxxxxxxx
623086开头的银行卡是绍兴银行借记卡 623086开头的银行卡号数字长度为16位 如：623086xxxxxxxxxx
628291开头的银行卡是绍兴银行贷记卡 628291开头的银行卡号数字长度为16位 如：628291xxxxxxxxxx
621532开头的银行卡是成都商业银行借记卡 621532开头的银行卡号数字长度为19位 如：621532xxxxxxxxxxxxx
621482开头的银行卡是成都商业银行借记卡 621482开头的银行卡号数字长度为19位 如：621482xxxxxxxxxxxxx
622135开头的银行卡是成都商业银行借记卡 622135开头的银行卡号数字长度为19位 如：622135xxxxxxxxxxxxx
622152开头的银行卡是成都商业银行借记卡 622152开头的银行卡号数字长度为19位 如：622152xxxxxxxxxxxxx
622153开头的银行卡是成都商业银行借记卡 622153开头的银行卡号数字长度为19位 如：622153xxxxxxxxxxxxx
622154开头的银行卡是成都商业银行借记卡 622154开头的银行卡号数字长度为19位 如：622154xxxxxxxxxxxxx
622996开头的银行卡是成都商业银行借记卡 622996开头的银行卡号数字长度为19位 如：622996xxxxxxxxxxxxx
622997开头的银行卡是成都商业银行借记卡 622997开头的银行卡号数字长度为19位 如：622997xxxxxxxxxxxxx
940027开头的银行卡是成都商业银行借记卡 940027开头的银行卡号数字长度为19位 如：940027xxxxxxxxxxxxx
940053开头的银行卡是抚顺银行股份有限公司借记卡 940053开头的银行卡号数字长度为18位 如：940053xxxxxxxxxxxx
